tag_code,date,city_location,state_province,zip_pc,country,first_name,notes
AEZY876,2022-10-19T00:00:00Z,Hastings,MN,,USA,Angela,In the yard while raking leaves
AG8G987,2022-08-20T00:00:00Z,Pittsfield,MA,,USA,Anne,Feeding on my butterfly bush
AG8Z590,2022-08-30T00:00:00Z,"Manhattan, NYC",NY,,USA,Dolores,NA
AGAB358,2022-09-24T00:00:00Z,Enid,OK,,USA,NA,NA
AGAB385,2022-09-05T00:00:00Z,Council Bluffs,IA,,USA,Michael,Spotted at the Council Bluffs Country Club pool
AGAB402,2022-09-02T00:00:00Z,Plymouth,MN,,USA,Carolyn,I have 4 alive and 4 chrysalis
AGAB415,2022-08-17T00:00:00Z,Eden Prairie,MN,,USA,Jim,The monarch was feeding on meadow blazing star.
AGAB434,2022-09-02T00:00:00Z,Roseville,MN,,USA,Riga,On a flower at the community garden in oasis park
AGAC025,2022-08-15T00:00:00Z,Minneapolis,MN,,USA,Kelli,In our garden.
AGAC111,2022-08-30T00:00:00Z,Woodbury,MN,,USA,Michael,"Found on prairie blazing star plants in garden, alive and well"
AGAC291,2022-09-13T00:00:00Z,Crystal,MN,,USA,Lindsey,NA
AGAC967,2022-08-28T00:00:00Z,Rochester,MN,,USA,Ethan,"The monarch appeared to have been killed by a bird -- only the wings remained. There weren't obvious markings on the wings, so I'm inclined to think it had been a female. I do have photos of three of the four wing parts."
AGAL100,2022-09-02T00:00:00Z,St. Clair Shores,MI,,USA,Jill,Found in a neighbors garden
AGAL286,2022-08-15T00:00:00Z,Saint Clair Shores,MI,,USA,Sharon,Feeding on blazing star
AGAL673,2022-08-27T00:00:00Z,Brighton,MI,,USA,Alison,Found among many other Monarchs on my butterfly bush
AGAL698,2022-09-21T00:00:00Z,Ann Arbor,MI,,USA,Helen,Zinnia Garden
AGAN278,2022-10-01T00:00:00Z,Rochester Hills,MI,,USA,Thomas,Found on road in subdivision. Did not seem able to fly. Left on some nearby wild flowers.
AGAN736,2022-09-19T00:00:00Z,Royal Oak,MI,,USA,Tom,Found with a pack of them on water snow ball plant. It was a small one compare with the others.
AGAP157,2022-08-25T00:00:00Z,Taylor,MI,,USA,Amy,The monarch was landing on my zinnias all day.
AGAP208,2022-08-28T00:00:00Z,london,OH,,USA,elizabeth,NA
AGAP208,2022-08-28T00:00:00Z,London,OH,,USA,Misty,On our butterfly bush
AGAP277,2022-08-18T00:00:00Z,Brighton Township,MI,,USA,Mary,I found in my front yard on grass; decided it was deceased and when turned it over saw tag
AGAR108,2022-08-22T00:00:00Z,Midland,MI,,USA,Kay,Butterfly bush in the front yard.
AGAT569,2022-09-02T00:00:00Z,Traverse City,MI,,USA,Jessica,Monarch was mating I think.
AGAT569,2022-09-04T00:00:00Z,traverse City,MI,,USA,George,Was Mating
AGAT569,2022-09-09T00:00:00Z,Traverse City,MI,,USA,Brad,Dead in flowerbed
AGAT573,2022-08-26T00:00:00Z,Traverse city,MI,,USA,April,"At botanic garden, traverse city, MI 1490 Red Dr."
AGAT586,2022-09-20T00:00:00Z,St. Ignace,MI,,USA,Amber,NA
AGAT588,2022-09-20T00:00:00Z,St Ignace,MI,,USA,Joan,NA
AGAT696,2022-09-23T00:00:00Z,Saint Ignace,MI,,USA,Joy,Was on the side walk moving ver slow. Did not fly but still alive
AGAU070,2022-09-20T00:00:00Z,MACKINAW CITY,MI,,USA,Marguerite,"Bridgeview Park in Mackinaw City, Michigan"
AGAU070,2022-09-20T00:00:00Z,St. Ignace,MI,,USA,Amber,"Was found at Bridge View Park, there was another with it but untagged"
AGAX328,2022-08-15T00:00:00Z,Algonquin,IL,,USA,NA,Looked new and was vigorous
