tag_code,report_season,location,country,abbrev
AEUL434,2022,El Rosario,Mexico,MIC
AEUU758,2022,El Rosario,Mexico,MIC
AEWC527,2022,El Rosario,Mexico,MIC
AEWN914,2022,El Rosario,Mexico,MIC
AEWS657,2022,Cerro Pelon,Mexico,MEX
AEWU269,2022,El Rosario,Mexico,MIC
AEXB009,2022,El Rosario,Mexico,MIC
AEXX885,2022,El Rosario,Mexico,MIC
AEYT475,2022,El Rosario,Mexico,MIC
AEYY248,2022,El Rosario,Mexico,MIC
AEZC293,2022,El Rosario,Mexico,MIC
AEZC464,2022,El Rosario,Mexico,MIC
AEZE897,2022,Atlautla,Mexico,MEX
AEZG322,2022,El Rosario,Mexico,MIC
AEZG452,2022,El Rosario,Mexico,MIC
AEZG470,2022,El Rosario,Mexico,MIC
AEZH838,2022,El Rosario,Mexico,MIC
AEZJ420,2022,Sierra Chincua,Mexico,MIC
AEZL158,2022,El Rosario,Mexico,MIC
AEZL378,2022,El Rosario,Mexico,MIC
AEZL920,2022,El Rosario,Mexico,MIC
AEZP503,2022,El Rosario,Mexico,MIC
AEZT503,2022,El Rosario,Mexico,MIC
AEZU280,2022,Cerro Pelon,Mexico,MEX
AEZY844,2022,El Rosario,Mexico,MIC
